,bukken_num,title,address,line1,station1,time1,line2,station2,time2,line3,station3,time3,price,rent,fee,deposit,key,room_type,room_size,url
0,0,コンフォール・A,東京都足立区新田１,東京メトロ南北線,王子神谷駅,10,東京メトロ南北線,志茂駅,25.0,ＪＲ京浜東北線,東十条駅,25.0,74000.0,72000.0,2000.0,0.0,0.0,1K,25.74,https://suumo.jp/chintai/jnc_000069818610/?bc=100251341381
1,0,コンフォール・A,東京都足立区新田１,東京メトロ南北線,王子神谷駅,10,東京メトロ南北線,志茂駅,25.0,ＪＲ京浜東北線,東十条駅,25.0,75000.0,73000.0,2000.0,0.0,0.0,1K,25.74,https://suumo.jp/chintai/jnc_000030705618/?bc=100251249919
2,0,コンフォール・A,東京都足立区新田１,東京メトロ南北線,王子神谷駅,10,東京メトロ南北線,志茂駅,25.0,ＪＲ京浜東北線,東十条駅,25.0,76000.0,74000.0,2000.0,0.0,0.0,1K,25.74,https://suumo.jp/chintai/jnc_000068426182/?bc=100251251127
3,1,シャロン　グレース,東京都西東京市保谷町２,西武新宿線,西武柳沢駅,5,西武新宿線,東伏見駅,13.0,西武新宿線,田無駅,22.0,74500.0,71000.0,3500.0,0.0,71000.0,1K,30.96,https://suumo.jp/chintai/jnc_000013651800/?bc=100258487432
4,1,シャロン　グレース,東京都西東京市保谷町２,西武新宿線,西武柳沢駅,5,西武新宿線,東伏見駅,13.0,西武新宿線,田無駅,22.0,75000.0,71500.0,3500.0,0.0,71500.0,1K,30.96,https://suumo.jp/chintai/jnc_000068884081/?bc=100253733068
5,1,シャロン　グレース,東京都西東京市保谷町２,西武新宿線,西武柳沢駅,5,西武新宿線,東伏見駅,13.0,西武新宿線,田無駅,22.0,77000.0,73500.0,3500.0,0.0,73500.0,1K,30.96,https://suumo.jp/chintai/jnc_000067243421/?bc=100244297896
6,1,シャロン　グレース,東京都西東京市保谷町２,西武新宿線,西武柳沢駅,5,西武新宿線,東伏見駅,13.0,西武新宿線,田無駅,22.0,78000.0,74500.0,3500.0,0.0,74500.0,1K,30.96,https://suumo.jp/chintai/jnc_000068791198/?bc=100253234616
7,2,レオパレスキャピタル平松,東京都西東京市保谷町６,西武新宿線,西武柳沢駅,9,,,,,,,64000.0,59000.0,5000.0,0.0,0.0,1K,20.28,https://suumo.jp/chintai/jnc_000065457049/?bc=100240156426
8,2,レオパレスキャピタル平松,東京都西東京市保谷町６,西武新宿線,西武柳沢駅,9,,,,,,,64000.0,59000.0,5000.0,0.0,0.0,1K,20.28,https://suumo.jp/chintai/jnc_000065445673/?bc=100249246375
9,2,レオパレスキャピタル平松,東京都西東京市保谷町６,西武新宿線,西武柳沢駅,9,,,,,,,64000.0,59000.0,5000.0,0.0,0.0,1K,19.87,https://suumo.jp/chintai/jnc_000060796965/?bc=100254188585
10,2,レオパレスキャピタル平松,東京都西東京市保谷町６,西武新宿線,西武柳沢駅,9,,,,,,,64000.0,59000.0,5000.0,0.0,0.0,1K,19.87,https://suumo.jp/chintai/jnc_000065643325/?bc=100240154818
11,3,ＪＲ京浜東北線 蒲田駅 3階建 築13年,東京都大田区矢口３,ＪＲ京浜東北線,蒲田駅,27,東急多摩川線,武蔵新田駅,11.0,東急多摩川線,矢口渡駅,10.0,74000.0,69000.0,5000.0,0.0,0.0,1K,19.87,https://suumo.jp/chintai/jnc_000068267905/?bc=100223576945
12,4,アンプルール フェール 南船堀,東京都江戸川区北葛西１,都営新宿線,船堀駅,10,東京メトロ東西線,西葛西駅,11.0,ＪＲ総武線,新小岩駅,29.0,71000.0,68000.0,3000.0,68000.0,68000.0,1K,25.53,https://suumo.jp/chintai/jnc_000041461868/?bc=100247005886
13,4,アンプルール フェール 南船堀,東京都江戸川区北葛西１,都営新宿線,船堀駅,10,東京メトロ東西線,西葛西駅,11.0,ＪＲ総武線,新小岩駅,29.0,72000.0,69000.0,3000.0,69000.0,69000.0,1K,25.53,https://suumo.jp/chintai/jnc_000067659231/?bc=100247276967
14,5,西武新宿線 西武柳沢駅 4階建 築13年,東京都西東京市保谷町２,西武新宿線,西武柳沢駅,5,,,,,,,75000.0,71500.0,3500.0,0.0,71500.0,1K,30.96,https://suumo.jp/chintai/jnc_000068878432/?bc=100253887798
15,5,西武新宿線 西武柳沢駅 4階建 築13年,東京都西東京市保谷町２,西武新宿線,西武柳沢駅,5,,,,,,,77000.0,73500.0,3500.0,0.0,73500.0,1K,30.96,https://suumo.jp/chintai/jnc_000067246616/?bc=100246835087
16,5,西武新宿線 西武柳沢駅 4階建 築13年,東京都西東京市保谷町２,西武新宿線,西武柳沢駅,5,,,,,,,78000.0,74500.0,3500.0,0.0,74500.0,1K,30.96,https://suumo.jp/chintai/jnc_000068796029/?bc=100253183814
17,6,ＪＲ八高線 箱根ヶ崎駅 3階建 築13年,東京都西多摩郡瑞穂町長岡１,ＪＲ八高線,箱根ヶ崎駅,24,羽12-1,長岡一,5.0,羽17,JA長岡支店入口,4.0,74000.0,70000.0,4000.0,0.0,70000.0,1LDK,40.0,https://suumo.jp/chintai/jnc_000069306619/?bc=100226661300
18,7,フェニックス武蔵関クアトロ,東京都練馬区関町北１,西武新宿線,武蔵関駅,3,西武新宿線,上石神井駅,18.0,ＪＲ中央線,吉祥寺駅,16.0,75500.0,69500.0,6000.0,69500.0,69500.0,1K,20.48,https://suumo.jp/chintai/jnc_000069551801/?bc=100257878432
19,7,フェニックス武蔵関クアトロ,東京都練馬区関町北１,西武新宿線,武蔵関駅,3,西武新宿線,上石神井駅,18.0,ＪＲ中央線,吉祥寺駅,16.0,75500.0,67500.0,8000.0,0.0,67500.0,1K,20.48,https://suumo.jp/chintai/jnc_000039991662/?bc=100250222929
20,7,フェニックス武蔵関クアトロ,東京都練馬区関町北１,西武新宿線,武蔵関駅,3,西武新宿線,上石神井駅,18.0,ＪＲ中央線,吉祥寺駅,16.0,76000.0,70000.0,6000.0,70000.0,70000.0,1K,20.48,https://suumo.jp/chintai/jnc_000038510973/?bc=100254899834
21,7,フェニックス武蔵関クアトロ,東京都練馬区関町北１,西武新宿線,武蔵関駅,3,西武新宿線,上石神井駅,18.0,ＪＲ中央線,吉祥寺駅,16.0,77000.0,71000.0,6000.0,71000.0,71000.0,1K,20.48,https://suumo.jp/chintai/jnc_000050351104/?bc=100245163064
22,7,フェニックス武蔵関クアトロ,東京都練馬区関町北１,西武新宿線,武蔵関駅,3,西武新宿線,上石神井駅,18.0,ＪＲ中央線,吉祥寺駅,16.0,77000.0,70000.0,7000.0,0.0,70000.0,1K,20.48,https://suumo.jp/chintai/jnc_000065854146/?bc=100236742758
23,7,フェニックス武蔵関クアトロ,東京都練馬区関町北１,西武新宿線,武蔵関駅,3,西武新宿線,上石神井駅,18.0,ＪＲ中央線,吉祥寺駅,16.0,77000.0,69000.0,8000.0,34500.0,0.0,1K,20.48,https://suumo.jp/chintai/jnc_000069215081/?bc=100255467740
24,8,フェリシティ藍,東京都立川市富士見町１,ＪＲ青梅線,西立川駅,7,ＪＲ中央線,立川駅,5.0,多摩都市モノレール,立川北駅,19.0,70000.0,64000.0,6000.0,32000.0,64000.0,1K,27.31,https://suumo.jp/chintai/jnc_000013579198/?bc=100258670062
25,8,フェリシティ藍,東京都立川市富士見町１,ＪＲ青梅線,西立川駅,7,ＪＲ中央線,立川駅,5.0,多摩都市モノレール,立川北駅,19.0,70000.0,64000.0,6000.0,32000.0,64000.0,1K,27.31,https://suumo.jp/chintai/jnc_000030555160/?bc=100258749230
26,9,ＪＲ中央線 吉祥寺駅 3階建 築15年,東京都練馬区関町南３,ＪＲ中央線,吉祥寺駅,15,西武新宿線,武蔵関駅,10.0,西武新宿線,上石神井駅,15.0,80000.0,78000.0,2000.0,78000.0,78000.0,1DK,32.91,https://suumo.jp/chintai/jnc_000038764289/?bc=100259141082
27,10,レオパレスレモンパイＭ,東京都福生市南田園１,ＪＲ青梅線,拝島駅,19,ＪＲ五日市線,熊川駅,10.0,ＪＲ青梅線,牛浜駅,19.0,46500.0,42000.0,4500.0,0.0,0.0,1K,19.87,https://suumo.jp/chintai/jnc_000043877361/?bc=100236341567
28,11,東武亀戸線 小村井駅 6階建 築14年,東京都墨田区文花２,東武亀戸線,小村井駅,5,京成押上線,京成曳舟駅,13.0,東武伊勢崎線,曳舟駅,15.0,74000.0,65000.0,9000.0,0.0,0.0,1K,19.95,https://suumo.jp/chintai/jnc_000069425407/?bc=100256939242
29,11,東武亀戸線 小村井駅 6階建 築14年,東京都墨田区文花２,東武亀戸線,小村井駅,5,京成押上線,京成曳舟駅,13.0,東武伊勢崎線,曳舟駅,15.0,76000.0,64000.0,12000.0,0.0,0.0,1K,19.95,https://suumo.jp/chintai/jnc_000021477022/?bc=100257325332
30,11,東武亀戸線 小村井駅 6階建 築14年,東京都墨田区文花２,東武亀戸線,小村井駅,5,京成押上線,京成曳舟駅,13.0,東武伊勢崎線,曳舟駅,15.0,77000.0,67000.0,10000.0,0.0,0.0,1K,19.95,https://suumo.jp/chintai/jnc_000030078400/?bc=100258321321
31,12,ＬＹＮＸ志茂,東京都北区志茂４,ＪＲ京浜東北線,赤羽駅,18,東京メトロ南北線,志茂駅,7.0,東京メトロ南北線,赤羽岩淵駅,17.0,77000.0,72000.0,5000.0,0.0,0.0,1K,25.08,https://suumo.jp/chintai/jnc_000068904065/?bc=100252101556
32,12,ＬＹＮＸ志茂,東京都北区志茂４,ＪＲ京浜東北線,赤羽駅,18,東京メトロ南北線,志茂駅,7.0,東京メトロ南北線,赤羽岩淵駅,17.0,78000.0,73000.0,5000.0,0.0,0.0,1K,25.08,https://suumo.jp/chintai/jnc_000069240015/?bc=100258533174
33,13,パレスホリケ・VIII,東京都足立区西保木間３,東武伊勢崎線,竹ノ塚駅,19,東武伊勢崎線,谷塚駅,18.0,東武バス,竹の塚中学校東,1.0,70000.0,68000.0,2000.0,0.0,0.0,1K,27.4,https://suumo.jp/chintai/jnc_000013535445/?bc=100256413873
34,13,パレスホリケ・VIII,東京都足立区西保木間３,東武伊勢崎線,竹ノ塚駅,19,東武伊勢崎線,谷塚駅,18.0,東武バス,竹の塚中学校東,1.0,76000.0,74000.0,2000.0,0.0,0.0,1K,30.94,https://suumo.jp/chintai/jnc_000013535443/?bc=100213890611
35,13,パレスホリケ・VIII,東京都足立区西保木間３,東武伊勢崎線,竹ノ塚駅,19,東武伊勢崎線,谷塚駅,18.0,東武バス,竹の塚中学校東,1.0,77000.0,75000.0,2000.0,0.0,0.0,1DK,34.9,https://suumo.jp/chintai/jnc_000013535444/?bc=100008600695
36,14,ＪＲ総武線 高円寺駅 3階建 築15年,東京都中野区野方２,ＪＲ総武線,高円寺駅,19,西武新宿線,野方駅,10.0,,,,56000.0,56000.0,0.0,56000.0,56000.0,1K,17.01,https://suumo.jp/chintai/jnc_000069588188/?bc=100254545424
37,15,パークハイム,東京都武蔵村山市大南３,多摩都市モノレール,桜街道駅,20,立川バス,西東京街道口,8.0,,,,79500.0,76000.0,3500.0,0.0,76000.0,1LDK,45.0,https://suumo.jp/chintai/jnc_000069174373/?bc=100256760674
38,16,多摩都市モノレール 桜街道駅 2階建 築14年,東京都武蔵村山市大南３,多摩都市モノレール,桜街道駅,20,立川バス,西東京街道口,8.0,,,,79500.0,76000.0,3500.0,0.0,76000.0,1LDK,45.0,https://suumo.jp/chintai/jnc_000069174374/?bc=100256159649
